--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
222.796  000.443  000.388: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/syntax/syntax.vim
222.804  000.542: inits 3
229.450  006.647: reading ShaDa
232.116  001.308  001.308: require('vim.filetype.detect')
234.327  000.104  000.104: require('luasnip.loaders.from_lua')
234.424  000.087  000.087: require('luasnip.loaders.from_snipmate')
234.505  000.079  000.079: require('luasnip.loaders.from_vscode')
234.544  003.515: reading stdin
234.771  000.227: opening buffers
234.786  000.015: BufEnter autocommands
234.790  000.004: editing files in windows
234.833  000.043: --- NVIM STARTED ---

