--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
126.263  000.767  000.648: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/matchit.vim
126.511  000.211  000.211: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/matchparen.vim
126.745  000.195  000.195: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/netrwPlugin.vim
126.890  000.104  000.104: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/osc52.lua
127.077  000.145  000.145: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/rplugin.vim
127.176  000.034  000.034: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/shada.vim
127.231  000.012  000.012: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/spellfile.vim
127.315  000.044  000.044: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tarPlugin.vim
127.414  000.043  000.043: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tohtml.lua
127.482  000.009  000.009: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tutor.vim
127.612  000.071  000.071: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/zipPlugin.vim
129.596  001.291  001.291: require('cmp_nvim_lua')
129.667  001.403  000.112: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
129.951  000.084  000.084: require('cmp_nvim_lsp.source')
129.953  000.166  000.082: require('cmp_nvim_lsp')
129.959  000.208  000.042: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
130.338  000.072  000.072: require('cmp_buffer.timer')
130.340  000.153  000.081: require('cmp_buffer.buffer')
130.343  000.223  000.070: require('cmp_buffer.source')
130.344  000.285  000.061: require('cmp_buffer')
130.358  000.331  000.047: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
130.570  000.094  000.094: require('cmp_path')
130.581  000.142  000.048: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
131.161  000.186  000.186: require('cmp_cmdline')
131.174  000.232  000.046: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
131.338  119.735  036.174: require('user.lazy')
132.016  000.677  000.677: require('user.options')
132.170  000.153  000.153: require('user.keymappings')
132.994  000.629  000.629: require('vim.diagnostic')
132.999  000.827  000.198: require('go')
135.374  000.117  000.117: require('go.utils')
135.376  000.878  000.761: require('go.commands')
137.580  000.117  000.117: require('go.keybind')
137.641  000.060  000.060: require('go.alt_getopt')
137.645  001.063  000.886: require('go.dap')
137.937  000.062  000.062: require('go.mockgen')
138.643  000.099  000.099: require('go.gopls')
138.645  000.412  000.313: require('go.godoc')
139.634  000.409  000.409: require('go.list')
139.637  000.991  000.582: require('go.package')
139.697  000.059  000.059: require('go.complete')
139.812  000.059  000.059: require('go.runner')
139.814  000.115  000.056: require('go.mod')
142.792  000.064  000.064: require('rose-pine.config')
142.793  000.350  000.287: require('rose-pine')
144.739  000.710  000.710: require('rose-pine.utilities')
144.804  000.064  000.064: require('rose-pine.palette')
146.126  003.812  002.688: sourcing /Users/phaedrus/.local/share/nvim/lazy/rose-pine/colors/rose-pine.lua
147.718  000.962  000.962: require('rainbow.internal')
147.743  007.875  003.101: require('user.colorscheme')
148.361  000.056  000.056: require('luasnip.session.enqueueable_operations')
148.646  000.054  000.054: require('luasnip.util.events')
148.651  000.127  000.073: require('luasnip.nodes.node')
149.539  000.886  000.886: require('luasnip.nodes.insertNode')
149.681  000.141  000.141: require('luasnip.nodes.textNode')
149.741  000.058  000.058: require('luasnip.util.mark')
149.795  000.053  000.053: require('luasnip.util.pattern_tokenizer')
149.846  000.050  000.050: require('luasnip.util.dict')
155.696  005.797  005.797: require('luasnip.util.jsregexp')
